sex,year,sido,height_2010,weight_2010,waist_2010,sight_left_2010,sight_right_2010,hearing_left_2010,hearing_right_2010,SBP_2010,RPBP_2010,cholesterol_2010,triglycerides_2010,HDL_2010,LDL_2010,blood_pigment_2010,urine_protein_2010,serum_creatinine_2010,AST_2010,ALT_2010,gamma_gtp_2010,smoking_2010,alcohol_2010,oral_inspection_2010,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,5,11,164.2863553,64.58773077,85.11576688,0.850259745,0.853050739,1.051058864,1.044525235,129.1698578,78.80904205,191.4072743,139.9611388,51.89850738,112.4854856,14.54828883,1.114426401,1.086283628,26.51448461,25.27499067,42.49877342,1.879216216,0.562978435,0.339532212,0.128567292,5.44783606,10.318163,5.139831195,6.487352482,4.312068118
1,5,26,164.2790468,63.9983466,84.6835775,0.815244975,0.827871947,1.07249011,1.065395666,126.4364655,77.40726313,193.6804137,138.6991675,51.47381121,114.8954398,14.21709211,1.107903068,1.078751811,27.4142851,25.96695171,45.13690701,1.957724996,0.549608339,0.286180023,0.147034982,1.894452742,3.588080105,1.787345873,2.255938424,1.499496163
1,5,27,164.1976849,63.4935944,84.75523486,0.825245503,0.835689717,1.059723897,1.054764511,128.4137128,77.99495779,190.5704812,144.9907103,52.04743757,110.0340216,14.29624477,1.082740501,0.999034274,26.56214915,25.42135431,42.58260464,1.939472029,0.517830154,0.231830162,0.126257296,1.427639969,2.703940011,1.346925341,1.700051835,1.130004781
1,5,28,163.7927972,64.03367625,85.01802393,0.871186644,0.85928315,1.049037026,1.048407763,129.2565248,79.41247568,192.195087,145.7699509,51.74344648,111.9151495,14.49536545,1.132449815,1.109837568,27.78319182,26.47895522,45.62963804,1.951593476,0.550971595,0.35343038,0.136226677,1.649152813,3.123483774,1.555914492,1.963832149,1.305336502
1,5,29,164.1824666,64.20814656,84.93465626,0.834994082,0.862012465,1.064235709,1.055358409,126.4504835,78.86611181,189.1490846,145.7679086,53.25347771,109.0844339,14.36004407,1.104842846,1.056822463,27.23077688,26.48772601,44.07947998,1.807445228,0.510280786,0.317720977,0.148059683,0.780269997,1.477825861,0.736155793,0.929155439,0.617598867
1,5,30,164.0356449,63.92953631,84.73757095,0.895890587,0.866394205,1.064236192,1.059902952,128.3553047,79.42528952,189.8860189,154.7562348,52.81664907,119.7539286,14.4756247,1.099607768,1.073517218,26.51565775,25.08506127,44.79355179,1.942033159,0.541967292,0.290022488,0.130890205,0.836887996,1.58505995,0.789572774,0.996576872,0.662413114
1,5,31,164.4309715,64.38140801,84.95096637,0.82014326,0.82407803,1.090119101,1.089782143,127.1642529,77.60702206,192.1778329,140.4059932,51.83425626,112.6986041,14.36263643,1.096611942,1.275665649,27.56420624,25.9372041,42.75356136,1.920084981,0.512640157,0.430097273,0.136450717,0.710644753,1.345956139,0.670466957,0.846244811,0.562489133
1,5,41,163.9784994,64.40865621,85.26307404,0.877937422,0.869591183,1.055888006,1.05029739,128.914089,78.76302293,192.0820263,143.5242826,51.9923086,112.0410398,14.50565677,1.118837828,1.068072945,27.02671811,25.67389674,43.96791086,1.914160478,0.545193455,0.264938201,0.126953084,7.060915713,13.37332446,6.661711997,8.408228251,5.588852013
1,5,42,163.4283343,64.11759279,85.12414028,0.916500364,0.910159458,1.049083868,1.041991044,129.5604923,79.11166878,189.0423977,143.2078826,51.05252333,109.1887536,14.58320288,1.103787854,1.112858931,28.19732917,26.45150965,47.39020227,1.888108365,0.525207995,0.183574854,0.143871495,0.846965739,1.604147125,0.799080751,1.008577577,0.670389843
1,5,43,163.3020177,63.63167153,85.30294644,0.876304364,0.871680688,1.052073796,1.050986658,128.3600799,79.00592398,192.344864,148.7195023,52.66775093,111.6641922,14.55360558,1.113671532,1.041750937,27.20927292,25.92393777,42.27844841,1.857470864,0.490521319,0.282376617,0.133132374,0.863183337,1.634863141,0.814381453,1.027889699,0.683226387
1,5,44,163.6891332,63.86851799,85.26577026,0.904239713,0.886206762,1.051531374,1.047169098,129.4410746,79.27110991,190.1250514,153.6625643,54.30107618,110.8732371,14.43076425,1.097258867,1.065177113,26.90456874,25.55222127,45.16160655,1.868238811,0.480854386,0.222546169,0.141381936,1.117105852,2.115790588,1.053947924,1.330263859,0.884210992
1,5,45,163.7777322,64.21806758,84.84011123,0.89211385,0.903648719,1.03799842,1.040137972,127.9176113,79.42286891,192.2297485,153.2040522,50.84454714,111.2910266,14.33021092,1.111650454,1.199861719,27.37729293,26.10794952,44.94491575,1.805295027,0.483570781,0.330121986,0.144840283,0.978908433,1.854045654,0.923563787,1.165696615,0.77482505
1,5,46,164.3109789,64.30676841,85.32418736,0.863467818,0.864068419,1.058539496,1.051485024,127.9469414,78.95894429,192.2184528,145.2784935,52.99642457,113.2910901,14.21560395,1.096067296,1.107546901,28.79715642,27.15650652,49.46986779,1.8224974,0.483430611,0.144754152,0.145126155,1.02687832,1.944900281,0.968821595,1.222819766,0.812794147
1,5,47,163.7312278,63.52487238,84.76502124,0.883518827,0.861374391,1.066818303,1.062220602,128.9885775,78.31115278,190.9828616,142.5044756,51.5677287,111.5548887,14.34976873,1.098004259,1.108966328,27.92939427,26.04378176,45.33696103,1.919783311,0.486664925,0.199675313,0.116383651,1.459385862,2.764066508,1.376876414,1.737855249,1.155132272
1,5,48,164.293348,63.75313345,84.38798732,0.842747324,0.863488698,1.065250311,1.062859821,127.2162136,77.74236046,192.8275578,138.6684062,52.27322651,113.2423015,14.32561079,1.115938096,1.000620701,27.85805849,26.03036449,49.61918098,1.903473815,0.537435574,0.229726586,0.141341835,1.876633166,3.554329954,1.770533764,2.234718646,1.485391622
1,5,49,164.049323,66.18796311,86.05118876,0.870691401,0.888129698,1.053014553,1.049922704,129.2595687,79.59506104,190.3676102,136.2730423,50.31083746,112.7359617,14.75856256,1.135813522,1.40650621,27.20682073,27.34817954,44.5060371,1.890372621,0.476437976,0.222519857,0.166040301,0.32311375,0.611975159,0.304845835,0.384767964,0.255750813
1,6,11,162.7090033,61.5895296,84.81275022,0.753953005,0.767667589,1.096599832,1.087822329,130.5097649,77.3259944,186.872957,127.1668344,51.89231558,110.2429237,14.04853449,1.156187791,1.157996158,25.63313136,21.86426683,34.12116888,1.710162348,0.39719356,0.283210162,0.123630424,4.460407247,9.207262665,5.156067092,7.488573634,8.388839317
1,6,26,162.5577139,60.85189117,84.30844638,0.697817578,0.734785278,1.111168314,1.102799309,128.1735694,76.66842491,189.3599937,126.4800602,50.28019361,114.0738351,13.70430761,1.114973577,1.141082474,26.0064278,21.8727516,35.657241,1.780636511,0.371147297,0.208684566,0.131356439,1.814984484,3.746527605,2.098055459,3.047175785,3.413502929
