sex,year,sido,height_2012,weight_2012,waist_2012,sight_left_2012,sight_right_2012,hearing_left_2012,hearing_right_2012,SBP_2012,RPBP_2012,cholesterol_2012,triglycerides_2012,HDL_2012,LDL_2012,blood_pigment_2012,urine_protein_2012,serum_creatinine_2012,AST_2012,ALT_2012,gamma_gtp_2012,smoking_2012,alcohol_2012,oral_inspection_2012,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,5,11,164.198746,64.522639,85.00417732,0.858096853,0.857638665,1.047117598,1.042303593,128.1100119,78.3489948,189.3748817,136.8863979,51.54555385,110.7656672,14.65764662,1.111319825,1.003514674,26.95652857,25.58172755,42.68598251,1.902736621,0.577412103,0.341636233,0.126736936,5.344020405,9.481326525,5.32486621,7.16366893,5.152478455
1,5,26,164.5115862,64.17727499,84.39963677,0.838591384,0.836407132,1.076273395,1.072540186,125.8805304,76.95033907,192.2955288,131.9706141,51.9287503,114.4713463,14.38158297,1.108625998,1.012418964,27.32858447,25.74379377,46.64576002,1.944781392,0.54321894,0.34439713,0.12516194,1.796468082,3.187282082,1.790029129,2.408168684,1.732078545
1,5,27,164.2081679,63.99466825,84.7762286,0.849215632,0.851999857,1.066008245,1.064134797,127.9657839,78.14503757,188.0271028,137.5193736,52.52166325,108.597009,14.35682518,1.099262578,0.992387174,26.83614811,25.33239828,40.44178195,1.924283762,0.503909953,0.262975535,0.133927885,1.380375211,2.449052793,1.375427629,1.850395444,1.330899397
1,5,28,164.0147633,64.1871651,84.9278382,0.925537027,0.899977846,1.058072517,1.047796758,128.5012154,79.33819656,189.4270981,142.5751664,52.04476787,109.7764845,14.53868303,1.126626398,0.988686255,27.05683883,25.14209807,46.00630001,1.969382519,0.558131036,0.377206825,0.139700157,1.615617995,2.866419023,1.609827249,2.165738817,1.55771054
1,5,29,164.5867817,65.0727676,84.93796926,0.881452455,0.897969652,1.081082393,1.07406303,126.2840018,78.93570964,186.4893546,140.559224,50.31445,108.5541474,14.4128407,1.079467644,1.036281897,27.48852752,25.82184491,41.81445703,1.81928781,0.513824227,0.341959908,0.143369125,0.786739043,1.395827334,0.78391919,1.054625097,0.758540511
1,5,30,164.2466409,64.09654748,84.19481613,0.898511095,0.905699295,1.076411824,1.064719288,127.031999,78.43224974,184.0661772,142.3648465,51.9086623,106.0554103,14.57565793,1.093781152,0.985011012,26.96999981,25.911753,38.19322914,1.960454722,0.519367794,0.381035663,0.109914312,0.827665609,1.468438983,0.824699065,1.109487232,0.798000175
1,5,31,164.7075838,64.76018132,84.6140177,0.841441997,0.838916841,1.115400133,1.110267942,127.1844741,77.89715445,192.5242251,140.2188034,50.63086197,114.1265856,14.5013581,1.102042597,0.9872603,28.04641518,26.21215232,43.09603427,1.950541105,0.55673296,0.562689861,0.128536169,0.686327557,1.217677923,0.683867601,0.92002332,0.661728003
1,5,41,164.0007035,64.69765488,85.11601418,0.891056318,0.894434204,1.060004721,1.048894563,127.8846784,78.16626482,190.1010665,141.0368335,51.76431482,110.6061648,14.649154,1.119158042,1.015257602,26.93124976,25.57963982,42.40617244,1.931362269,0.546715703,0.275898857,0.12703934,7.105396007,12.60634775,7.079928638,9.524796081,6.850722315
1,5,42,163.4841256,64.95549072,85.00083985,0.890069623,0.883550202,1.050799773,1.040851867,128.5658118,78.85359063,187.0526648,142.0868714,51.39105807,108.0659361,14.71774628,1.088619953,1.020643408,28.37018383,26.95911641,46.47535481,1.923327823,0.50549656,0.187046684,0.135366159,0.821014249,1.456638183,0.818071545,1.100571072,0.791587215
1,5,43,163.8315752,63.68834677,84.68199449,0.883259386,0.882509743,1.055592736,1.046966946,127.5120174,78.68679555,190.2418216,147.4522903,51.69442206,109.9185806,14.6569192,1.092051164,0.989781881,28.22636656,26.13787543,44.80247858,1.885196899,0.520425423,0.305850337,0.147607631,0.840754559,1.491661314,0.837741102,1.127032993,0.810619987
