sex,year,sido,height_2016,weight_2016,waist_2016,sight_left_2016,sight_right_2016,hearing_left_2016,hearing_right_2016,SBP_2016,RPBP_2016,cholesterol_2016,triglycerides_2016,HDL_2016,LDL_2016,blood_pigment_2016,urine_protein_2016,serum_creatinine_2016,AST_2016,ALT_2016,gamma_gtp_2016,smoking_2016,oral_inspection_2016,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,5,49,169.5705331,72.88090362,86.33614356,1.023553342,1.012476308,1.006103379,1.010424424,125.2444048,80.941086,206.8484046,156.563972,51.62079338,125.6461271,15.63170266,1.085773459,0.96907563,27.16107724,31.47740373,62.85291574,2.290227611,0.454623208,0.073727347,0.400943596,0.573336283,0.335643336,0.463631846,0.402249602
1,6,11,167.4624868,68.6724159,85.16155728,0.984174787,0.982096811,1.025279664,1.023655265,125.3623277,79.24744717,197.3143866,154.1939778,52.91309827,115.0949839,15.16739392,1.110981202,0.974101086,27.47876975,28.54774981,51.27627326,2.089302414,0.42016835,0.121081946,4.558809555,6.883261858,4.684942626,5.495798081,7.622041272
1,6,26,167.4933594,67.84841224,84.46091445,0.976030979,0.973234878,1.03721837,1.035116743,123.4964903,77.25322852,200.4277343,153.4065475,52.81259495,118.7559077,15.07065048,1.107111563,0.976902431,28.29216228,29.25274869,54.25501752,2.129471247,0.411819072,0.129588406,1.780727521,2.688687403,1.829996662,2.146726854,2.9772638
1,6,27,167.1854519,67.40814457,84.64770516,0.982104421,0.989548258,1.027447402,1.029987996,125.5713064,78.61790485,198.1832086,153.7714384,51.91672573,116.5600549,15.04382436,1.085686299,0.971795509,27.76615605,28.34816342,49.4466564,2.130299417,0.274079226,0.127375905,1.244053902,1.878373876,1.278474366,1.499748776,2.079979449
1,6,28,167.0993458,68.5279503,85.05332289,1.024064798,1.03050894,1.024911303,1.022073456,125.4439362,79.70848834,196.7980189,156.9340876,51.83121152,114.6401427,15.17872976,1.112588757,0.980079753,28.41952355,29.55269729,53.11288767,2.149860545,0.497642267,0.136522947,1.509845861,2.279688216,1.551620252,1.820169911,2.524366795
1,6,29,167.5419742,68.71594082,84.73032283,1.01661464,1.0158513,1.024816562,1.027164437,123.1011445,78.44664714,195.7489843,158.9878279,50.31777615,115.3568906,15.12078162,1.081574439,1.008786027,27.92065682,30.13380894,54.4043547,2.015048273,0.362645962,0.14013709,0.65384685,0.987231212,0.671937474,0.788234345,1.093190583
1,6,30,167.5589672,68.14673348,84.53165538,1.006559911,0.993562419,1.027450237,1.02293891,125.2097974,79.37760424,195.1994247,153.9013512,52.1175683,113.4297292,15.02922405,1.102191758,0.969749883,27.77432138,29.25973224,48.23277795,2.064201271,0.499976758,0.125212126,0.714393874,1.078650038,0.734159712,0.861225816,1.194421378
1,6,31,167.588217,68.03454924,84.54121811,0.971531292,0.966466286,1.042679246,1.046615687,127.0341825,78.97683476,197.9460205,149.2144271,53.31171337,118.55007,15.03857285,1.103053195,0.934722853,26.78937944,27.43258285,50.29866371,2.115790757,0.734538258,0.118946589,0.634115051,0.957438535,0.651659736,0.764446998,1.060200263
1,6,41,167.0711333,68.44901955,85.04987188,1.009187794,1.007421142,1.023062661,1.021697703,125.2543231,79.04313467,197.3039013,157.3908411,52.21988794,115.2164463,15.17886406,1.108371987,0.969765366,27.78466349,29.14071568,52.10352772,2.109983686,0.380612574,0.132206025,6.131418517,9.257714916,6.301062508,7.391631019,10.251344
1,6,42,166.7644453,69.00937861,85.09661547,1.025658692,1.027242237,1.030525686,1.029118523,126.680186,79.60941483,193.8325771,156.1423373,51.67962233,112.0401746,15.2745089,1.106640172,0.981182783,28.85263466,29.83689569,58.42589248,2.112985646,0.311728535,0.148773834,0.827201868,1.248976733,0.850088876,0.997219643,1.38302921
1,6,43,166.7365162,67.81584199,84.66151001,1.021959524,1.031472307,1.027390271,1.025042829,125.2753707,79.61735625,195.2896715,159.8739151,52.38736038,112.8013886,15.24685204,1.089707369,0.996008646,28.59195066,29.77919824,52.11603217,2.087647142,0.494533387,0.12850687,0.812730243,1.227126295,0.83521685,0.979773613,1.358833568
1,6,44,166.9955566,68.49188921,85.27319806,1.025765025,1.032795021,1.029589168,1.027341479,126.1311413,79.96751783,194.7397782,160.8610789,51.41044579,112.7388864,15.16898664,1.098717532,0.951385551,28.96458223,30.10051888,52.78588391,2.08437333,0.368485688,0.124811555,1.007473071,1.521164874,1.03534782,1.214542635,1.684431261
1,6,45,166.9490725,68.45251965,84.85642394,1.029336312,1.034547022,1.025657644,1.023328478,124.7298503,79.25720663,197.5181543,161.8419986,50.82706401,115.6249941,15.0390683,1.079920031,0.983374684,28.49569196,29.71334187,52.57910072,2.02332913,0.412659869,0.13685706,0.91442124,1.380667642,0.939721432,1.102365526,1.528854484
