sex,year,sido,height_2017,weight_2017,waist_2017,sight_left_2017,sight_right_2017,hearing_left_2017,hearing_right_2017,SBP_2017,RPBP_2017,cholesterol_2017,triglycerides_2017,HDL_2017,LDL_2017,blood_pigment_2017,urine_protein_2017,serum_creatinine_2017,AST_2017,ALT_2017,gamma_gtp_2017,smoking_2017,alcohol_2017,oral_inspection_2017,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,5,11,170.4549592,72.6302098,85.66632692,1.06898056,1.072022418,1.010126791,1.009609721,123.9697341,79.0116356,202.983042,165.4929635,52.87892131,118.7629872,15.40516986,1.100878595,0.966638223,27.06768098,31.65827184,50.96343708,2.177280035,0.751712735,0.444053849,0.072435788,4.928141446,8.545803332,5.020428739,5.020428739,4.965056363
1,5,26,170.3821827,72.57989282,85.14829169,1.08405084,1.081669352,1.01238417,1.011698532,122.6499809,77.1670884,205.5219667,171.9390224,52.74254249,120.5391858,15.42535623,1.098585534,0.952601672,27.96057095,32.55881822,53.59601009,2.238627281,0.719031704,0.411025136,0.084161786,1.652114405,2.864902507,1.683052877,1.683052877,1.664489794
1,5,27,169.8954187,71.47217014,84.74274501,1.089888979,1.09720839,1.009640647,1.008571155,124.3388847,78.3606782,202.7963295,163.4244197,52.77527933,119.1898133,15.36158758,1.069992402,0.961264276,26.93151433,31.16254957,49.16150402,2.215314253,0.707887305,0.298584068,0.071649839,1.26312109,2.190356048,1.286775043,1.286775043,1.272582671
1,5,28,169.95909,72.25114214,85.19800929,1.107224446,1.103625732,1.009262867,1.008252828,123.7480558,79.40637615,203.6777638,175.9081142,51.96916462,119.2596996,15.44426497,1.09463727,0.970729339,28.21673556,32.67412561,55.1480249,2.255180574,0.731207363,0.54224831,0.076740566,1.548341784,2.684952233,1.577336949,1.577336949,1.55993985
1,5,29,169.8637207,71.50927954,84.30689718,1.126435284,1.127335358,1.009791443,1.010802995,120.7505426,77.40088831,200.3653246,171.6248707,51.14578476,117.2963692,15.3995174,1.084466251,0.972652445,27.80146676,32.86837747,54.49154315,2.189667058,0.702499304,0.359184506,0.083538915,0.763297064,1.323620002,0.777591016,0.777591016,0.769014645
1,5,30,170.1083343,71.74411527,84.72771998,1.09561386,1.108899913,1.009696052,1.011261098,125.0391502,80.07135665,202.7994403,167.8141456,52.40394085,118.811136,15.33666236,1.075264776,0.97724832,27.15287592,31.36553885,49.45971922,2.154454205,0.725613736,0.565536652,0.072747477,0.783086516,1.357936543,0.797751058,0.797751058,0.788952333
1,5,31,170.3701345,72.18855847,85.14805345,1.081544697,1.076094164,1.014291774,1.0116833,125.7638388,79.02869187,202.3023679,168.2786538,52.41349711,119.3836898,15.36293858,1.106464203,0.944562375,26.94228713,31.03120528,51.13896707,2.260897049,0.756824397,0.683535404,0.074177275,0.617828708,1.071365888,0.629398534,0.629398534,0.622456639
1,5,41,169.9420846,72.23548858,85.5021745,1.099020291,1.095568085,1.008844703,1.008338917,123.8183395,78.85851931,202.8395112,171.3528533,52.47554005,118.0773917,15.42259422,1.089897429,0.960206904,27.60321426,32.27099545,53.2416019,2.223023154,0.744607896,0.4513798,0.075674136,7.049639261,12.22465535,7.181654978,7.181654978,7.102445548
1,5,42,169.6343587,72.68727123,84.85236706,1.112163966,1.122921232,1.012569866,1.013341969,125.8572625,79.61977236,201.390929,175.6423113,51.75076585,116.4726473,15.55823145,1.08628199,0.974407608,28.26337089,32.34755799,58.76819151,2.25837114,0.735745218,0.372255609,0.086959909,0.764681832,1.326021305,0.779001717,0.779001717,0.770409786
1,5,43,169.2360349,71.46025122,84.78830068,1.125900507,1.116440189,1.009705474,1.007381005,124.2446667,79.82676784,203.4984258,172.7959008,53.05031266,118.111587,15.48647544,1.069066505,0.995655708,27.73518696,31.84140554,52.7485946,2.276914339,0.731402851,0.577745641,0.084429989,0.801558297,1.389968133,0.816568752,0.816568752,0.807562479
