sex,year,sido,height_2009,weight_2009,waist_2009,sight_left_2009,sight_right_2009,hearing_left_2009,hearing_right_2009,SBP_2009,RPBP_2009,cholesterol_2009,triglycerides_2009,HDL_2009,LDL_2009,blood_pigment_2009,urine_protein_2009,serum_creatinine_2009,AST_2009,ALT_2009,gamma_gtp_2009,smoking_2009,alcohol_2009,oral_inspection_2009,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,5,11,164.0822456,64.27558374,85.06608408,0.835089219,0.849313672,1.050541169,1.042504664,129.3450149,78.91293248,192.2173609,140.8109704,52.76243544,113.1249934,14.49313602,1.130068803,1.120173136,26.76394762,25.43306407,42.63979113,1.882800935,0.564697159,0.331779367,0.123965979,6.022632626,9.439318443,5.269803548,9.477925063,4.864434044
1,5,26,164.0803533,63.64417098,84.62515053,0.800299389,0.800489731,1.103738469,1.099117141,127.160055,77.95577958,194.1737978,136.7484346,52.0289146,114.7882725,14.25682033,1.114784024,1.145397993,27.20295184,25.18485909,46.21338743,1.959568338,0.56620046,0.322039398,0.134089041,2.13678114,3.348993518,1.869683498,3.362690833,1.72586169
1,5,27,163.8264058,63.27995659,84.87261653,0.816114135,0.808114063,1.079934834,1.07391444,129.0144809,78.4788969,191.7792468,146.8438554,52.05582573,111.0539187,14.31644089,1.105117921,0.995606976,26.6965301,25.61903364,43.54938224,1.965187991,0.496219468,0.243656567,0.120612815,1.587023537,2.487354197,1.388645595,2.497527425,1.281826703
1,5,28,163.7749027,63.70194672,84.85468591,0.860569979,0.845893542,1.062343998,1.049929146,130.3310289,79.94013513,191.9870211,145.9692468,53.36564371,110.3368318,14.46508287,1.11362561,1.447178205,27.40099549,26.12362749,45.32566028,1.928097112,0.547792853,0.359677975,0.12783263,1.832515901,2.872116268,1.603451413,2.883863164,1.480108997
1,5,29,164.3406655,64.28417574,85.22570588,0.834980439,0.851245313,1.073880925,1.077924883,126.3221855,78.94972263,191.8781755,144.4273544,52.49200683,110.9003131,14.43042678,1.088537535,1.054126215,27.48226489,26.21008326,46.46941311,1.789445352,0.539089877,0.303427576,0.14718035,0.854015791,1.338505519,0.747263817,1.343979979,0.689781985
1,5,30,163.8813218,63.417048,84.33854092,0.869842319,0.87241512,1.079260734,1.067282973,127.8780566,79.31920015,190.1955169,143.8585848,54.42593784,124.2207207,14.5374136,1.11241545,1.083718242,26.45675437,25.09637018,44.33491825,1.95774262,0.53854308,0.340245007,0.10964536,0.921687468,1.444567859,0.806476535,1.450476112,0.744439878
1,5,31,164.0587652,63.76173865,85.09664009,0.863635124,0.813018494,1.107553163,1.106993629,127.1060432,77.27750388,193.2159203,144.2305725,54.34442303,112.8424208,14.26795437,1.097963216,1.40554186,27.86960576,25.92751495,44.52654264,1.951038911,0.536795628,0.383607973,0.121122924,0.790490282,1.2389415,0.691678997,1.244008746,0.63847292
1,5,41,163.8461038,64.10074359,85.14974617,0.848517975,0.859734066,1.059002619,1.054421787,129.0945542,79.08438555,192.6314953,145.027101,53.03998618,112.687903,14.48937869,1.124399595,1.06024329,27.36779726,26.12954328,44.68637312,1.903317888,0.540292465,0.267351518,0.129463098,7.686374748,12.04691427,6.725577905,12.0961859,6.208225758
1,5,42,163.023018,64.01489007,85.22996003,0.84832978,0.87233622,1.051448475,1.054685765,129.4835243,79.15704419,188.6139218,140.740513,52.69653342,108.8404797,14.54971108,1.110113564,1.273628248,28.49795914,26.58664446,48.02769709,1.890842074,0.544931648,0.173344437,0.133821897,0.940634417,1.474263557,0.823055115,1.480293265,0.759743183
1,5,43,163.3474094,63.18620881,84.84285212,0.838831912,0.809210443,1.038314595,1.036578456,129.5325654,79.42641322,191.1584835,150.0604344,53.09405724,108.879907,14.50273696,1.127543091,1.12250981,27.15826738,26.09249524,45.2604312,1.879589872,0.514042294,0.220086227,0.114053014,0.94650114,1.483458518,0.828188498,1.489525833,0.76448169
1,5,44,163.5314406,63.40046725,85.03248953,0.857584255,0.844498131,1.05302434,1.043500065,128.0851196,79.38820649,190.4716365,155.410243,56.52486693,110.7701129,14.51747458,1.130100083,1.119221516,27.87064818,26.2881878,50.85681145,1.90674898,0.506683205,0.248513008,0.110420156,1.220516138,1.912924332,1.067951621,1.920748154,0.985801496
1,5,45,163.6113617,63.59602046,84.56710664,0.85651845,0.878016212,1.03768695,1.038058534,127.6094596,78.76867981,188.843374,146.3426998,52.08288301,111.3790589,14.30746759,1.087196322,1.322897165,27.81485949,26.13482993,45.24193137,1.844351536,0.507698789,0.313228572,0.117285377,1.084263118,1.699373925,0.948730228,1.706324329,0.87575098
1,5,46,164.1706301,64.45167484,85.50372598,0.840086826,0.851390457,1.051610332,1.048718423,127.8846905,78.58237408,192.1677539,145.0128775,55.04320965,115.9833873,14.16118904,1.098145199,1.035871503,29.88429413,27.85692298,52.01900312,1.815509213,0.497734164,0.120983313,0.132090312,1.141470626,1.789035693,0.998786798,1.796352813,0.921957044
1,5,47,163.628891,63.4205681,84.8032817,0.845829724,0.862888528,1.070318936,1.063482403,128.8412615,78.51099579,191.7376147,146.2658715,60.13122809,111.0168889,14.32289292,1.10376669,1.105833248,28.10428848,26.73465918,47.98050643,1.964965117,0.494555408,0.213548983,0.130734267,1.619142408,2.537694351,1.416749607,2.548073469,1.307768868
1,5,48,163.9124859,63.27528019,84.06529042,0.825816936,0.833387294,1.074631429,1.068626906,126.8424396,77.82506272,193.4522069,135.9046036,52.48669113,113.8602763,14.30764228,1.113424601,1.05055911,27.34323954,25.27540859,47.68112932,1.90858151,0.514696485,0.226461289,0.127794118,2.064208754,3.235250259,1.80618266,3.248482367,1.667245532
1,5,49,163.8478747,65.40873709,86.05685544,0.82938157,0.856424106,1.059414361,1.056526003,129.6165763,79.77380405,191.1809705,132.9277528,50.69073121,113.7701955,14.68225077,1.128241726,1.125510251,27.82842236,27.11859888,47.08781527,1.797829295,0.52304665,0.244560387,0.139568202,0.351706649,0.551232536,0.307743318,0.553487066,0.284070755
1,6,11,162.4214582,61.06339465,84.57035191,0.717580708,0.753201589,1.10228695,1.097814794,130.5642039,76.97520688,186.9580581,126.0067881,52.21133081,111.6068493,13.99234636,1.150335238,1.203946823,26.09432195,22.33826922,34.97098467,1.679224445,0.404146646,0.249297633,0.110370376,5.313698821,8.702750826,4.665176524,9.727834457,8.409869788
1,6,26,162.3806404,60.6576746,84.13226781,0.698596902,0.686049215,1.158047211,1.148024881,128.4218993,76.66836687,190.1284356,127.0756479,51.76142146,113.0512824,13.78246078,1.12602393,1.151756958,26.16549947,22.0441707,36.96177137,1.771526431,0.390542069,0.239173243,0.107418704,2.169191699,3.552691917,1.90444783,3.971158032,3.43313017
1,6,27,162.0608257,60.13863145,84.2666766,0.72091222,0.7150299,1.157812569,1.145466481,129.6332749,77.34443819,187.7478375,128.1304173,53.20051635,110.3523048,13.83673485,1.139519689,1.078218368,26.13875833,22.48677126,37.12733351,1.754851334,0.415811421,0.221567589,0.101306324,1.302263334,2.132840736,1.143325683,2.384064765,2.061062442
1,6,28,161.7606468,60.06937349,84.1634766,0.766119191,0.774457448,1.099673067,1.088572014,131.4404521,78.67975993,187.2808638,135.2410674,54.52789698,111.4305113,14.03832997,1.128851833,1.608780056,26.02067298,22.5497071,36.70072051,1.767724982,0.377368055,0.299016491,0.116055143,1.369837011,2.243512586,1.202652179,2.507772482,2.168009758
1,6,29,161.7323274,59.9955784,84.15316421,0.769899961,0.718443044,1.142754813,1.145520367,128.4367435,78.41495053,186.255679,126.5736694,52.1848726,109.9156746,13.82185154,1.077099035,1.055818825,26.17782568,21.62578898,36.51400542,1.592108994,0.38978167,0.262510363,0.113237164,0.628193156,1.028851782,0.551523912,1.150038651,0.994226963
1,6,30,161.7774127,60.3062249,84.51505263,0.704108099,0.732903584,1.152229312,1.126429962,129.87106,78.38479676,184.0769441,143.1791864,54.31185347,115.17765,14.0710851,1.159989696,1.140311245,25.38915511,21.96976543,36.53504929,1.724149325,0.406572969,0.277838627,0.136705915,0.726565171,1.189965005,0.637889894,1.330129152,1.149918106
1,6,31,161.7604347,59.97911801,83.7471438,0.7164771,0.818160353,1.152000609,1.124657037,128.3768787,76.53384279,186.2897202,133.5237001,59.1452092,108.4326825,13.80080227,1.115072093,1.063849396,27.60344521,22.5226211,43.15763684,1.783223556,0.392047788,0.209124606,0.092363156,0.587219501,0.961745325,0.515550979,1.075027827,0.929378896
1,6,41,161.8670497,60.57516942,84.47306147,0.748325919,0.765286582,1.116446496,1.107306112,129.7446813,77.52751885,187.2712833,131.0835756,51.65316919,110.9321246,14.04260747,1.132061846,1.126475095,26.02017303,22.4636199,37.0176075,1.730122004,0.399111716,0.231953519,0.126142145,5.291930056,8.667098045,4.646064577,9.68798219,8.375416861
1,6,42,161.5404661,60.57255603,84.22798005,0.778624079,0.71465884,1.099378304,1.090555431,131.7732112,78.48939022,183.2329313,127.6095041,51.83452461,106.1249349,14.16017981,1.130463117,1.363759214,27.38435336,23.56773509,36.96310774,1.722672346,0.391567559,0.117731368,0.088749907,0.834575674,1.366864096,0.732718013,1.527864915,1.320863862
1,6,43,160.6642174,58.24641148,83.34521531,0.718834586,0.693585099,1.114895403,1.088398805,131.1178059,78.98072454,188.0921053,130.6073479,54.3593985,108.769378,14.07627136,1.128415175,1.199846206,25.57720437,21.0144566,34.7842447,1.772424304,0.387141178,0.117942584,0.103041695,0.785782274,1.286950496,0.689879713,1.438538415,1.243639662
1,6,44,161.2335526,58.95845669,83.66549068,0.725009046,0.698119243,1.091725689,1.097335146,130.1519189,79.10607456,188.1186595,140.9851563,55.35766721,111.1141694,14.10236623,1.126750399,1.106796875,26.26074287,22.20265077,40.01984375,1.762138835,0.405985078,0.207905702,0.100753838,1.019557981,1.669827245,0.895123739,1.866513627,1.613631136
1,6,45,160.788062,58.88842149,83.0156641,0.731986071,0.83828662,1.075935314,1.073394018,130.097545,78.55521898,185.8711485,134.1092714,53.49646344,114.3867389,13.66630181,1.079519671,1.188820683,26.35905564,21.79533243,40.15181425,1.669579182,0.349725032,0.22754791,0.10281841,0.958682411,1.570125523,0.841677865,1.755068193,1.51728476
1,6,46,161.5245155,59.08294126,83.6913254,0.722608713,0.750376848,1.079239346,1.059713166,127.923213,78.19119378,186.3867112,126.5002874,53.64422323,109.6235564,13.70893118,1.097512899,1.048768551,28.53026581,23.71562004,41.5231237,1.654107328,0.355893035,0.07415319,0.100579416,1.014446307,1.66145537,0.890635931,1.857155642,1.605541006
1,6,47,161.3648987,59.01794411,83.59876521,0.710890373,0.690350918,1.141922143,1.133214835,129.5678582,77.73947801,187.8733512,127.776644,61.5996161,110.8381697,13.93501509,1.114320266,1.054188361,27.18876082,23.07980117,37.28995168,1.83705208,0.374722676,0.150304639,0.088268999,1.461543,2.393708221,1.283165705,2.67565943,2.313150733
1,6,48,161.6685037,59.14818327,82.78776703,0.743356246,0.762451066,1.116646248,1.111177338,128.5725979,77.03900679,190.0178519,125.2576733,51.83126706,113.1755792,13.80570256,1.115636284,1.07246178,26.60778815,21.7024799,41.46793847,1.750831597,0.338791494,0.133560991,0.110557455,1.671090257,2.736903728,1.467138297,3.059279408,2.644796391
1,6,49,161.4726824,62.44333043,85.52659111,0.855841325,0.693381285,1.102513804,1.082316187,133.5278989,80.36726242,188.3648649,124.4622929,49.00850044,114.2487649,14.29749346,1.147096366,1.260244115,25.77978785,24.2842197,31.18250509,1.563281023,0.322184666,0.136006975,0.099752979,0.26539129,0.434656602,0.233001015,0.485854134,0.420028735
1,7,11,161.1174242,57.78409091,83.08143939,0.643181818,0.646780303,1.162878788,1.168560606,129.1477273,75.58712121,183.6893939,120.2253788,53.60037879,110.5265152,13.54905303,1.143771789,1.155871212,25.37310606,20.28030303,29.81439394,1.613636364,0.272727273,0.221590909,0.109848485,3.852748386,7.275022092,3.142465164,9.750251502,11.21386541
1,7,26,161.3872832,58.06358382,83.1849711,0.812716763,0.642196532,1.190751445,1.167630058,130.6473988,77.07514451,184.1560694,106.849711,52.32369942,109.8554913,13.39710983,1.092485549,1.221965318,25.76300578,21.00578035,35.68208092,1.653179191,0.242774566,0.150289017,0.098265896,1.519423528,2.869079065,1.239306342,3.845245019,4.422456192
1,7,27,160.5882353,56.17647059,82.95098039,0.569201554,0.677874934,1.14891362,1.178502031,128.6666667,75.92156863,187.8431373,120.5588235,56.21568627,112.1372549,13.44117647,1.200575643,1.015686275,28.37254902,23.54901961,32.14705882,1.754901961,0.257600288,0.147058824,0.098039216,0.858256258,1.620617963,0.700030244,2.172011648,2.498053132
1,7,28,160,58.71287129,85.05940594,0.84518607,0.849018436,1.108910891,1.099009901,132.8811881,78.42574257,183.2871287,124.1980198,53.61386139,109.5049505,13.62673267,1.203802681,1.91980198,25.73267327,21.10891089,27.53465347,1.524752475,0.24009901,0.198019802,0.138613861,0.822507775,1.553115239,0.670872263,2.081542022,2.394003076
